ID,Name,Concepticon_ID,Concepticon_Gloss
mucusnasal,mucus (nasal),208,NASAL MUCUS (SNOT)
mouth,mouth,674,MOUTH
beak,beak,73,BEAK
lip,lip,478,LIP
tongue,tongue,1205,TONGUE
tooth,tooth,1380,TOOTH
molartooth,molartooth,1049,MOLAR TOOTH
neck,neck,1333,NECK
napeofneck,nape of neck,1347,NAPE (OF NECK)
shoulder,shoulder,1482,SHOULDER
arm,arm,1673,ARM
armpit,armpit,1886,ARMPIT
elbow,elbow,981,ELBOW
hand,hand,1277,HAND
palmofhand,palm of hand,1183,PALM OF HAND
finger,finger,1303,FINGER
fingernail,fingernail,1258,FINGERNAIL
claw,claw,72,CLAW
leg,leg,1297,LEG
thigh,thigh,800,THIGH
knee,knee,1371,KNEE
foot,foot,1301,FOOT
ankle,ankle,803,ANKLE
heel,heel,980,HEEL
wing,wing,1257,WING
chest,chest,1592,CHEST
breastofwoman,breast (of woman),1402,BREAST
nippleteat,"nipple, teat",796,NIPPLE
navel,navel,1838,NAVEL
heart,heart,1223,HEART
liver,liver,1224,LIVER
stomach,stomach,819,STOMACH
intestinesguts,"intestines, guts",1991,INTESTINES
waist,waist,1681,WAIST
hip,hip,1745,HIP
buttocks,buttocks,834,BUTTOCKS
testicle,testicle,797,TESTICLES
penis,penis,1222,PENIS
breathebreath,"breathe, breath",1407,BREATHE
yawngape,"yawn, gape",1028,YAWN
cough,cough,879,COUGH
sneeze,sneeze,1621,SNEEZE
perspire,perspire,126,SWEAT (PERSPIRE)
spit,spit,1440,SPIT
vomit,vomit,1278,VOMIT
bite,bite,1403,BITE
lick,lick,319,LICK
sleep,sleep,1585,SLEEP
snore,snore,1983,SNORE
dream,dream,1920,DREAM (SOMETHING)
wakeup,wake up,1602,WAKE UP
urinate,urinate,592,PISS
defecate,defecate,676,SHIT (DEFECATE)
shiver,shiver,52,SHIVER
bathe,bathe,138,BATHE
begetoffather,beget (of father),1152,BEGET
pregnant,pregnant,1123,PREGNANT
conceive,conceive,1087,CONCEIVE
livelivinglife,"live, living, life",1422,BE ALIVE
diedead,"die, dead",1494,DIE
drowned,drowned,1904,DROWN
kill,kill,1417,KILL
corpse,corpse,767,CORPSE
burythedead,bury (the dead),1719,BURY
gravetomb,"grave, tomb",1773,GRAVE
strongmightypowerful,"strong, mighty, powerful",785,STRONG
weak,weak,1601,WEAK
sicksickness,"sick, sickness",1847,SICK
fever,fever,1534,FEVER
woundsore,"wound, sore",1109,WOUND
swelling,swelling,1903,SWELLING
itch,itch,148,ITCH
blister,blister,1584,BLISTER
boilnoun,boil (noun),793,BOIL (OF SKIN)
cureheal,"cure, heal",499,CURE
medicinedrug,"medicine, drug",1372,MEDICINE
poison,poison,655,POISON
tiredweary,"tired, weary",1757,TIRED
rest,rest,168,REST
lazy,lazy,1564,LAZY
bald,bald,1125,BALD
lame,lame,320,LAME
mute,mute,1666,MUTE
blind,blind,1653,BLIND
intoxicated,intoxicated,1463,DRUNK
nakedbare,"naked, bare",590,NAKED
eat,eat,1336,EAT
food,food,256,FOOD
cooked,cooked,269,COOKED
raw,raw,1959,RAW
ripe,ripe,178,RIPE
greenunripe,"green, unripe",1958,UNRIPE
rotten,rotten,1728,ROTTEN
drink,drink,1401,DRINK
hunger,hunger,1864,HUNGER
thirst,thirst,848,THIRST
suck,suck,1421,SUCK
chew,chew,321,CHEW
swallow,swallow,897,SWALLOW
cook,cook,1100,COOK (SOMETHING)
boilvb,boil (vb),792,BOIL (OF LIQUID)
roastfry,"roast, fry",2146,ROAST OR FRY
bake,bake,183,BAKE
potcookingvessel,"pot, cooking vessel",1462,POT
kettle,kettle,854,KETTLE
pan,pan,31,PAN
dish,dish,481,DISH
cupdrinkingvessel,"cup, drinking vessel",476,CUP
peel,peel,275,PEEL
scrape,scrape,1767,SCRAPE
stirmix,"stir, mix",2017,MIX
bread,bread,1368,BREAD
dough,dough,273,DOUGH
crushgrind,"crush, grind",1033,GRIND
mill,mill,636,MILL
pestle,pestle,225,PESTLE
meat,meat,634,MEAT
soupbroth,"soup, broth",1547,SOUP
bean,bean,832,BEAN
potato,potato,593,POTATO
fruit,fruit,1507,FRUIT
bunch,bunch,1966,BUNCH
nut,nut,191,NUT
oil,oil,1484,OIL (ORGANIC SUBSTANCE)
greasefat,"grease, fat",323,FAT (ORGANIC SUBSTANCE)
salt,salt,1274,SALT
chilipepper,chili pepper,919,CHILI PEPPER
honey,honey,942,HONEY
milknoun,milk (noun),635,MILK
beveragedrink,"beverage, drink",731,BEVERAGE
beer,beer,1639,BEER
fermenteddrink,fermented drink,404,ALCOHOL (FERMENTED DRINK)
egg,egg,744,EGG
clothingclothes,"clothing, clothes",1895,CLOTHES
cloth,cloth,1616,CLOTH
cotton,cotton,1850,COTTON
leather,leather,629,LEATHER
sew,sew,1457,SEW
needle,needle,1382,NEEDLE (FOR SEWING)
thread,thread,1161,THREAD
dye,dye,157,DYE
womansdress,woman's dress,474,DRESS
shirt,shirt,1622,SHIRT
trousers,trousers,809,TROUSERS
shoe,shoe,1381,SHOE
hatcap,"hat, cap",2130,HEADGEAR
beltgirdle,"belt, girdle",772,BELT
ornamentadornment,"ornament, adornment",917,ORNAMENT
bead,bead,1860,BEAD
earring,earring,770,EARRING
headbandheaddress,"headband, headdress",330,HEADBAND
comb,comb,1475,COMB
mirror,mirror,1171,MIRROR
house,house,1252,HOUSE
yardcourt,"yard, court",736,YARD
room,room,1450,ROOM
doorgate,"door, gate",1567,DOOR
locknoun,lock (noun),1596,LOCK
floor,floor,1632,FLOOR
fireplace,fireplace,185,FIREPLACE
pillow,pillow,1044,PILLOW
chair,chair,1476,CHAIR
lamptorch,"lamp, torch",2131,TORCH OR LAMP
