ID,Name,Concepticon_ID,Concepticon_Gloss
soap,soap,788,SOAP
hut,hut,1678,HUT
meetinghouse,meeting house,335,MEETING HOUSE
window,window,1375,WINDOW
wall,wall,933,WALL (OF HOUSE)
stove,stove,859,STOVE
chimney,chimney,1305,CHIMNEY
ladder,ladder,1464,LADDER
bed,bed,1663,BED
blanket,blanket,806,BLANKET
table,table,1775,TABLE
board,board,1227,BOARD
rice,rice,926,RICE
plantnoun,plant (noun),653,PLANT (VEGETATION)
oak,oak,644,OAK
pipe,pipe,1124,PIPE
knotnoun,knot (noun),760,KNOT
scissorsshears,"scissors, shears",356,SHEARS
flayskin,"flay, skin",291,PULL OFF (SKIN)
hammer,hammer,1481,HAMMER
iron,iron,621,IRON
roll,roll,827,ROLL
dive,dive,119,DIVE
road,road,667,ROAD
bridge,bridge,1011,BRIDGE
boat,boat,1844,BOAT
paddlenoun,paddle (noun),234,PADDLE
mast,mast,184,MAST
sailnoun,sail (noun),786,SAILCLOTH
anchor,anchor,1870,ANCHOR
landvb,land (vb),1922,LAND (DESCEND)
cheap,cheap,1887,CHEAP
beside,beside,1816,BESIDE
remainsleftovers,"remains, left overs",838,REMAINS
end,end,742,END (OF SPACE)
east,east,1877,EAST
west,west,1817,WEST
north,north,1598,NORTH
south,south,1595,SOUTH
tall,tall,711,TALL
narrow,narrow,1267,NARROW
thickindimension,thick (in dimension),1244,THICK
square,square,850,SQUARE
round,round,1395,ROUND
littlequantityfew,"little (quantity), few",1242,FEW
empty,empty,1624,EMPTY
old,old,1229,OLD
hastenhurry,"hasten, hurry",754,HURRY
endtemporal,end (temporal),743,END (OF TIME)
noonmidday,"noon, midday",12,MIDDAY
evening,evening,1629,EVENING
dayaftertomorrow,day-after-tomorrow,1179,DAY AFTER TOMORROW
clocktimepiece,"clock, timepiece",1323,CLOCK
autumn,autumn,1276,AUTUMN
taste,taste,21,TASTE (SOMETHING)
salty,salty,1091,SALTY
quietsilence,"quiet, silence",1314,QUIET
darkincolor,dark (in color),706,DARK
blue,blue,837,BLUE
green,green,1425,GREEN
tearnoun,tear (noun),1651,TEAR (OF EYE)
anger,anger,82,ANGER
brave,brave,3,BRAVE
good,good,1035,GOOD
insanecrazy,"insane, crazy",1899,MAD
remember,remember,707,REMEMBER
clearplain,"clear, plain",989,CLEAR
and,and,1577,AND
because,because,1157,BECAUSE
what,what?,1236,WHAT
mumble,mumble,128,MUMBLE
silentbe,silent (be),48,BE SILENT
read,read,724,READ
commandorder,"command, order",1128,ORDER
sling,sling,387,SLING
hunt,hunt,1435,HUNT
trapnoun,trap (noun),1075,TRAP (PITFALL)
arson,arson,1889,ARSON
world,world,965,WORLD
valley,valley,921,VALLEY
roughofsea,rough (of sea),259,ROUGH (OF SEA)
ocean,ocean,645,OCEAN
waterfall,waterfall,943,WATERFALL
storm,storm,858,STORM
dew,dew,1977,DEW
weather,weather,952,WEATHER
infantbaby,"infant, baby",1289,BABY
marriagewedding,"marriage, wedding",1259,WEDDING
divorce,divorce,1134,DIVORCE
parents,parents,505,PARENTS
marriedman,married man,424,MARRIED MAN
marriedwoman,married woman,426,MARRIED WOMAN
sibling,sibling,1640,SIBLING
twins,twins,1005,TWINS
mothersbrother,mother's brother,1984,MOTHER'S BROTHER
fatherinlawofawoman,father-in-law (of a woman),2254,FATHER-IN-LAW (OF WOMAN)
motherinlawofawoman,mother-in-law (of a woman),2257,MOTHER-IN-LAW (OF MAN)
soninlawofaman,son-in-law (of a man),2267,SON-IN-LAW (OF MAN)
soninlawofawoman,son-in-law (of a woman),2266,SON-IN-LAW (OF WOMAN)
daughterinlawofaman,daughter-in-law (of a man),2265,DAUGHTER-IN-LAW (OF MAN)
daughterinlawofawoman,daughter-in-law (of a woman),2264,DAUGHTER-IN-LAW (OF WOMAN)
stepson,stepson,1059,STEPSON
stepdaughter,stepdaughter,1058,STEPDAUGHTER
livestock,livestock,631,LIVESTOCK
herdsman,herdsman,263,HERDSMAN
stablestall,"stable, stall",851,STABLE
cattlebovine,cattle (bovine),1153,CATTLE
bull,bull,1008,BULL
ox,ox,1169,OX
cow,cow,1007,COW
calf,calf,1989,CALF
sheep,sheep,1331,SHEEP
ram,ram,1344,RAM
ewe,ewe,1345,EWE
lamb,lamb,820,LAMB
boar,boar,1348,BOAR
goat,goat,1502,GOAT
hegoat,he-goat,264,HE-GOAT
kid,kid,1972,KID
horseequine,horse (equine),615,HORSE
stallion,stallion,936,STALLION
mare,mare,938,MARE
foalcolt,"foal, colt",1647,FOAL
assdonkey,"ass, donkey",1862,DONKEY
mule,mule,890,MULE
goose,goose,1187,GOOSE
crow,crow,913,CROW
shark,shark,1110,SHARK
bear,bear,1820,BEAR
elephant,elephant,1290,ELEPHANT
camel,camel,1871,CAMEL
insect,insect,620,INSECT
nitlouseegg,nit (louse egg),267,NIT
spiderweb,spider web,1065,SPIDER WEB
firefly,firefly,206,FIREFLY
pubichair,pubic hair,36,PUBIC HAIR
dandruff,dandruff,576,DANDRUFF
blink,blink,1655,BLINK
earlobe,earlobe,18,EARLOBE
shoulderblade,shoulderblade,172,SHOULDERBLADE
udder,udder,154,UDDER
spleen,spleen,1744,SPLEEN
dribble,dribble,268,DRIBBLE
borntobe,born (to be),1090,BE BORN
goiter,goiter,1957,GOITER
coldcatarrh,cold (catarrh),102,COMMON COLD (DISEASE)
bruise,bruise,1148,BRUISE
pus,pus,1808,PUS
physician,physician,597,PHYSICIAN
famine,famine,199,FAMINE
choke,choke,129,CHOKE
oven,oven,1143,OVEN
plate,plate,480,PLATE
bowl,bowl,1530,BOWL
saucer,saucer,271,SAUCER
fork,fork,337,PITCHFORK
tongs,tongs,272,TONGS
meala,meal (a),1526,MEAL
lunch,lunch,768,LUNCH
dinner,dinner,1833,DINNER (SUPPER)
supper,supper,1833,DINNER (SUPPER)
sievestrain,"sieve, strain",86,SIEVE
mortar,mortar,224,MORTAR CRUSHER
sausage,sausage,1874,SAUSAGE
vegetables,vegetables,924,VEGETABLES
fig,fig,322,FIG
grape,grape,920,GRAPE
milkvb,milk (vb),93,DRAW MILK
mead,mead,941,MEAD
putonclothes,put on (clothes),158,PUT ON
tailor,tailor,881,TAILOR
wool,wool,964,WOOL
linenflax,"linen, flax",916,LINEN
silk,silk,1641,SILK
felt,felt,325,FELT
spin,spin,121,SPIN
spindle,spindle,277,SPINDLE
loom,loom,1787,LOOM
coat,coat,603,COAT
collar,collar,2012,COLLAR
skirt,skirt,1600,SKIRT
boot,boot,585,BOOT
shoemakercobbler,"shoemaker, cobbler",875,SHOEMAKER
glove,glove,867,GLOVE
pin,pin,64,PIN
jewel,jewel,1029,JEWEL
ringforfinger,ring (for finger),1374,RING
bracelet,bracelet,1754,BRACELET
handkerchiefrag,"handkerchief, rag",332,RAG
towel,towel,1021,TOWEL
braid,braid,333,PLAIT
ointment,ointment,1926,OINTMENT
dwelllive,"dwell, live",363,"DWELL (LIVE, RESIDE)"
gardenhouse,garden-house,403,GARDEN-HOUSE
tent,tent,1316,TENT
cookhouse,cookhouse,334,COOKHOUSE
latchdoorbolt,"latch, door-bolt",1012,LATCH
key,key,1472,KEY
shelf,shelf,745,SHELF
arch,arch,876,ARCH
mason,mason,877,MASON
farmer,farmer,979,FARMER
furrow,furrow,1794,FURROW
spade,spade,1176,SPADE
shovel,shovel,1901,SHOVEL
hoe,hoe,284,HOE
rake,rake,338,RAKE
sicklescythe,"sickle, scythe",2132,SICKLE OR SCYTHE
thresh,thresh,285,THRESH
threshingfloor,threshing-floor,223,THRESHING-FLOOR
cropharvest,"crop, harvest",611,HARVEST
wheat,wheat,1077,WHEAT
barley,barley,932,BARLEY
rye,rye,23,RYE
oats,oats,60,OAT
hay,hay,342,HAY
beech,beech,1950,BEECH
birch,birch,1855,BIRCH
pine,pine,1740,PINE
fir,fir,1915,FIR
acorn,acorn,968,ACORN
treestump,tree stump,241,TREE STUMP
banyan,banyan,346,BANYAN
pumpkinsquash,"pumpkin, squash",864,PUMPKIN
bend,bend,2004,BEND
stab,stab,1434,STAB
broken,broken,588,BROKEN
carpenter,carpenter,1042,CARPENTER
build,build,1840,BUILD
hollowout,hollow out,46,HOLLOW OUT
saw,saw,1948,SAW
glue,glue,1069,GLUE
smithblacksmith,"smith, blacksmith",1001,BLACKSMITH
forge,forge,288,FORGE
anvil,anvil,1648,ANVIL
castmetals,cast (metals),211,CAST
copperbronze,"copper, bronze",1825,COPPER
leadnoun,lead (noun),627,LEAD (CHEMICAL ELEMENT)
tintinplate,"tin, tinplate",358,TINPLATE
moldclayetc,mold (clay etc),289,MOLD
rug,rug,292,RUG
netbag,netbag,293,NETBAG
carve,carve,228,CARVE
paintnoun,paint (noun),647,PAINT (PIGMENTS)
move,move,765,MOVE
sink,sink,1088,SINK (DESCEND)
crouch,crouch,296,CROUCH
limp,limp,366,LIMP
climb,climb,1102,CLIMB
carryinhand,carry-in-hand,412,CARRY IN HAND
carryonhead,carry-on-head,414,CARRY ON HEAD
carryunderarm,carry-underarm,415,CARRY UNDER ARM
drive,drive,741,DRIVE
ride,ride,367,RIDE
carriagewagoncart,"carriage, wagon, cart",122,CART
axle,axle,1769,AXLE
yoke,yoke,14,YOKE
ship,ship,740,SHIP
rudder,rudder,108,RUDDER
hold,hold,1448,HOLD
preservelookafter,"preserve, look after",1997,PRESERVE
saverescue,"save, rescue",2008,RESCUE
rich,rich,712,RICH
avariciousstingy,"avaricious, stingy",1774,STINGY
borrow,borrow,1823,BORROW
debt,debt,1914,DEBT
taxtribute,"tax, tribute",873,TAX
hire,hire,856,HIRE
wages,wages,1122,WAGES
tradebarter,"trade, barter",2135,TRADE OR BARTER
merchant,merchant,1082,MERCHANT
marketplace,market (place),633,MARKET
storeshop,"store, shop",752,STORE
price,price,657,PRICE
dearcostlyexpensive,"dear (costly, expensive)",1426,EXPENSIVE
weigh,weigh,1098,WEIGH
put,put,998,PUT
pickup,pick up,371,PICK UP
low,low,721,LOW
spanfathom,"span, fathom",81,FATHOM
shallow,shallow,193,SHALLOW
hook,hook,1071,HOOK
corner,corner,192,CORNER
sphereball,"sphere, ball",1845,BALL
line,line,1048,LINE
likesimilar,"like, similar",1558,SIMILAR
five,five,493,FIVE
six,six,1703,SIX
seven,seven,1704,SEVEN
eight,eight,1705,EIGHT
nine,nine,1483,NINE
eleven,eleven,1706,ELEVEN
twelve,twelve,1707,TWELVE
fifteen,fifteen,1709,FIFTEEN
twenty,twenty,1710,TWENTY
hundred,hundred,1634,HUNDRED
thousand,thousand,1843,THOUSAND
count,count,1420,COUNT
enough,enough,1881,ENOUGH
multitudecrowd,"multitude, crowd",2023,CROWD
second,second,1384,SECOND
pair,pair,1888,PAIR
twotimes,two times,1546,TWICE
third,third,1859,THIRD
threetimes,three times,417,THREE TIMES
time,time,892,TIME
age,age,1789,AGE
young,young,1207,YOUNG
early,early,672,EARLY
lastendure,"last, endure",1186,LAST (ENDURE)
ready,ready,790,READY
always,always,1676,ALWAYS
often,often,1852,OFTEN
sometimes,sometimes,1544,SOMETIMES
soon,soon,703,SOON
never,never,1656,NEVER
daybeforeyesterday,day-before-yesterday,1180,DAY BEFORE YESTERDAY
hour,hour,1353,HOUR
week,week,1469,WEEK
sunday,Sunday,1699,SUNDAY
monday,Monday,1697,MONDAY
tuesday,Tuesday,1695,TUESDAY
wednesday,Wednesday,1694,WEDNESDAY
thursday,Thursday,1693,THURSDAY
friday,Friday,1692,FRIDAY
saturday,Saturday,1700,SATURDAY
spring,spring,1537,SPRINGTIME
sniff,sniff,375,SNIFF
acidsour,"acid, sour",1906,SOUR
brackish,brackish,70,BRACKISH
loud,loud,377,LOUD
color,color,1613,COLOR
lightincolor,light (in color),250,LIGHT (COLOR)
pinch,pinch,378,PINCH
rough,rough,1923,ROUGH
bluntdull,"blunt, dull",379,BLUNT
goodfortuneluck,"good fortune, luck",720,GOOD LUCK
misfortunebadluck,"misfortune, bad luck",56,BAD LUCK
smile,smile,1451,SMILE
griefsorrowsadness,"grief, sorrow, sadness",1668,GRIEF
anxietyworry,"anxiety, worry",1000,ANXIETY
regretbesorry,"regret, be sorry",1875,REGRET
pity,pity,1141,PITY
groan,groan,716,GROAN
envyjealousy,"envy, jealousy",40,ENVY
proud,proud,174,PROUD
dare,dare,1779,DARE
danger,danger,1810,DANGER
hope,hope,1092,HOPE
faithful,faithful,100,FAITHFUL
true,true,1657,TRUE
forgive,forgive,1528,FORGIVE
rightcorrect,"right, correct",1725,CORRECT (RIGHT)
wrong,wrong,1390,WRONG
mistakeerror,"mistake, error",1293,MISTAKE
blame,blame,381,BLAME
praise,praise,1687,PRAISE
greedy,greedy,2018,GREEDY
clever,clever,1310,CLEVER
mind,mind,1562,MIND
believe,believe,1890,BELIEVE
guess,guess,1932,GUESS
imitate,imitate,117,IMITATE
ideanotion,"idea, notion",1609,IDEA
wise,wise,698,WISE
foolishstupid,"foolish, stupid",1518,STUPID
pupil,pupil,753,PUPIL (STUDENT)
teacher,teacher,1038,TEACHER
obscure,obscure,1764,OBSCURE
explain,explain,1626,EXPLAIN
intentionpurpose,"intention, purpose",1162,INTENTION
doubt,doubt,1308,DOUBT
suspect,suspect,1841,SUSPECT
betray,betray,1902,BETRAY
neednecessity,"need, necessity",643,NEED (NOUN)
easy,easy,686,EASY
difficult,difficult,584,DIFFICULT
tryattempt,"try, attempt",1812,TRY
waymanner,"way, manner",488,MANNER
if,if,1459,IF
or,or,1014,OR
howmany,how many?,822,HOW MANY
why,why?,1270,WHY
voice,voice,1363,VOICE
whisper,whisper,55,WHISPER
shriekscreech,"shriek, screech",298,SHRIEK
howl,howl,526,HOWL
stutterstammer,"stutter, stammer",1866,STUTTER
tellstory,tell story,1711,TELL
admitconfess,"admit, confess",2022,ADMIT
deny,deny,755,DENY
promise,promise,1675,PROMISE
refuse,refuse,49,REFUSE
callname,call (=name),180,CALL BY NAME
threaten,threaten,1192,THREATEN
boast,boast,101,BOAST
pen,pen,794,PEN
poet,poet,,
horntrumpet,"horn, trumpet",2136,BRASS INSTRUMENT (HORN OR TRUMPET)
country,country,1300,COUNTRY
onesnativecountry,one's native country,89,NATIVE COUNTRY
boundary,boundary,1010,BOUNDARY
tribeclan,"tribe, clan",302,CLAN
queen,queen,1306,QUEEN
noblenobleman,"noble, nobleman",482,NOBLE
master,master,383,MASTER
slave,slave,812,SLAVE
servant,servant,255,SERVANT
freeman,freeman,384,FREEMAN
obey,obey,1635,OBEY
neighbor,neighbor,1332,NEIGHBOUR
guest,guest,1782,GUEST
host,host,1545,HOST
custom,custom,1747,CUSTOM
strifequarrel,"strife, quarrel",1848,QUARREL
conspiracyplot,"conspiracy, plot",2024,PLOT
prostitute,prostitute,1610,PROSTITUTE
warbattle,"war, battle",579,BATTLE
peace,peace,1338,PEACE
army,army,1561,ARMY
soldier,soldier,1941,SOLDIER
club,club,1763,CLUB
battleax,battle-ax,386,BATTLE-AXE
sword,sword,1535,SWORD
armordefensive,armor (defensive),1061,ARMOUR
helmet,helmet,1680,HELMET
fortress,fortress,1938,FORTRESS
tower,tower,1671,TOWER
victory,victory,783,VICTORY
defeat,defeat,782,DEFEAT
attack,attack,722,ATTACK
surrender,surrender,1696,SURRENDER
captiveprisoner,"captive, prisoner",1072,PRISONER
guardsentinel,"guard, sentinel",1940,GUARD
bootyspoils,"booty, spoils",1022,BOOTY
ambush,ambush,65,AMBUSH
fisherman,fisherman,1858,FISHERMAN
fishtrap,fish trap,389,FISH TRAP
bait,bait,2013,BAIT
misstarget,miss (target),161,MISS (A TARGET)
trapvb,trap (vb),1170,TRAP (CATCH)
law,law,1062,LAW
court,court,1068,COURT
judgevb,judge (vb),1818,ADJUDICATE
judgment,judgment,1067,JUDGMENT
judgenoun,judge (noun),861,JUDGE
defendant,defendant,1034,DEFENDANT
witness,witness,1144,WITNESS
swear,swear,1939,SWEAR
oath,oath,1712,OATH
condemn,condemn,484,CONDEMN
convictvb,convict (vb),983,CONVICT
acquit,acquit,988,ACQUIT
guilty,guilty,1682,GUILTY
innocent,innocent,90,INNOCENT
fine,fine,218,FINE (PENALTY)
murder,murder,845,MURDER
adultery,adultery,902,ADULTERY
rape,rape,953,RAPE
perjury,perjury,1792,PERJURY
headlandpoint,"headland, point",1662,CAPE
tide,tide,891,TIDE
freshwatereel,freshwater eel,1013,FRESHWATER EEL
centipede,centipede,1974,CENTIPEDE
sideofheadtemple,"side of head, temple",1604,TEMPLES
olive,olive,1154,OLIVE
fur,fur,580,FUR
poncho,poncho,327,PONCHO
grassskirt,grass-skirt,328,GRASS-SKIRT
veil,veil,1151,VEIL
tattoo,tattoo,68,TATTOO
menshouse,men's house,408,MEN'S HOUSE
doorpostjamb,"doorpost, jamb",80,DOORPOST
thatch,thatch,279,THATCH
adobe,adobe,901,ADOBE
potter,potter,359,POTTER
mat,mat,195,MAT
sculptor,sculptor,914,SCULPTOR
statue,statue,1002,STATUE
chisel,chisel,1979,CHISEL
rattle,rattle,300,RATTLE
shield,shield,1064,SHIELD
plaintiff,plaintiff,2020,PLAINTIFF
coconut,coconut,970,COCONUT
citrusfruit,citrus fruit,1126,CITRUS FRUIT
sailvb,sail (vb),787,SAIL
outrigger,outrigger,416,OUTRIGGER
